Day,Open,High,Low,Close,Volume,Market Cap
25/10/2023,30.2286,33.6875,30.0182,32.5141,3924500260,13434248442
24/10/2023,31.7856,32.4595,29.6884,30.1562,4742319288,13029938612
23/10/2023,29.0618,32.5008,28.8196,31.8168,3234538905,12499411475
22/10/2023,29.2576,29.9614,28.2303,29.1105,3075703847,12086263070
21/10/2023,27.0186,30.186,26.7131,29.4251,2993564954,11853619606
20/10/2023,25.0624,27.3645,24.7829,27.0829,2883343887,11046962862
19/10/2023,23.4509,25.3955,23.2088,25.0101,1413133444,10114999867
18/10/2023,24.0048,24.3155,23.4944,23.4991,1361667080,9951707631
17/10/2023,23.9834,24.5281,23.6698,24.0336,2113806493,10031552999
16/10/2023,22.0107,24.4261,21.988,24.0509,1298075275,9623185977
15/10/2023,22.0108,22.1943,21.7901,22.007,496496831.6,9151474970
14/10/2023,21.8805,22.2526,21.8664,22.1139,835146387.8,9178553700
13/10/2023,21.2915,22.2318,21.1662,21.9171,821583996.2,8961952835
12/10/2023,21.986,22.0228,21.1668,21.3695,971626514.4,8950714753
11/10/2023,22.1646,22.4137,21.7635,22.0577,998636892.3,9172721984
10/10/2023,22.1295,22.4983,21.7841,22.184,1063905149,9181635575
09/10/2023,23.2504,23.4048,21.8513,22.2106,963229516.3,9388085689
08/10/2023,23.2938,23.6244,23.1907,23.3353,786615404.6,9704207809
07/10/2023,23.4405,23.9713,23.2049,23.3793,1291129950,9743977160
06/10/2023,22.7754,23.7614,22.7754,23.4933,1452731487,9641278676
05/10/2023,23.0681,23.7196,22.6412,22.7363,1469037798,9552686679
04/10/2023,23.4915,23.7329,22.7459,23.1788,2121799310,9594615494
03/10/2023,23.3964,24.6617,23.3404,23.5548,2317618398,9865751843
02/10/2023,23.8543,24.647,23.0289,23.4711,2463923899,9893931856
01/10/2023,21.3207,24.4252,21.1733,23.9407,1533251108,9241476879
30/09/2023,20.2909,21.8111,20.152,21.4624,813610607,8591184127
29/09/2023,19.9508,20.4555,19.8967,20.3761,877026153.7,8356388074
28/09/2023,19.1329,20.0509,19.1329,20.037,755828256,8025147690
27/09/2023,19.0399,19.4925,18.8619,19.2102,1059528813,7874780635
26/09/2023,19.3753,19.5074,18.975,19.06,1287711455,7965453087
25/09/2023,19.3749,19.7264,19.2312,19.4247,1416948408,8045981293
24/09/2023,19.5296,19.6669,19.3174,19.3904,942880952,8073630455
23/09/2023,19.4624,19.5731,19.326,19.4927,1504337244,8027310059
22/09/2023,19.4786,19.7722,19.2338,19.4444,1891972514,8066120896
21/09/2023,20.248,20.2686,19.3636,19.461,2847611694,8143218109
20/09/2023,20.0293,20.4684,19.8113,20.284,3465812005,8270571133
19/09/2023,19.7289,20.3682,19.6094,20.0348,4131856919,8212620146
18/09/2023,18.7994,20.0962,18.6073,19.6437,3507403937,8005548551
17/09/2023,19.1095,19.1181,18.6996,18.7948,1209973564,7797862180
16/09/2023,19.1687,19.4344,18.9188,19.1469,1838829542,7865498838
15/09/2023,18.844,19.4209,18.6036,19.1686,1954708982,7799335894
14/09/2023,18.4488,19.2189,18.4488,18.8283,4026478154,7757797207
13/09/2023,17.92,18.492,17.7243,18.4071,3413731105,7454979867
12/09/2023,17.7086,18.667,17.5799,17.9489,4430194027,7397212284
